Probe,GeneID,Symbol,Distance,Sides,Raw.p,Pe
cg27428948,ENSG00000143674,MLK4,701762,R4,3.029854647195261e-9,0.039603960396039604
cg12213388,ENSG00000183780,SLC35F3,-44814,L2,3.3161862570834164e-9,0.009900990099009901
cg22153407,ENSG00000143633,C1orf131,1069418,R10,3.3161862570834164e-9,0.0297029702970297
cg22684969,ENSG00000198860,TSEN15,816020,R8,3.3161862570834164e-9,0.009900990099009901
cg11718886,ENSG00000117724,CENPF,-4507120,L10,3.628768200078445e-9,0.009900990099009901
cg12213388,ENSG00000135750,KCNK1,-696818,L3,3.7956231186390695e-9,0.009900990099009901
cg06082598,ENSG00000153187,HNRNPU,3101956,R14,4.15200820524001e-9,0.009900990099009901
cg06082598,ENSG00000174371,EXO1,98757,R1,5.191258013243129e-9,0.009900990099009901
cg25210796,ENSG00000162434,JAK1,209102,R2,5.191258013243129e-9,0.0594059405940594
cg11718886,ENSG00000067704,IARS2,922390,R4,5.674257682014814e-9,0.019801980198019802
cg12213388,ENSG00000162885,B3GALNT2,1108159,R9,5.674257682014814e-9,0.019801980198019802
cg06358191,ENSG00000127054,CPSF3L,19825,R3,6.200814717898295e-9,0.019801980198019802
cg22400454,ENSG00000162769,FLVCR1,-1573497,L7,6.200814717898295e-9,0.039603960396039604
cg21690505,ENSG00000143815,LBR,-698255,L10,6.481601574479232e-9,0.009900990099009901
cg22684969,ENSG00000135829,DHX9,-347902,L4,6.774725882624878e-9,0.019801980198019802
cg06082598,ENSG00000035687,ADSS,2659284,R9,7.080712238335761e-9,0.019801980198019802
cg24446417,ENSG00000117595,IRF6,401007,R6,8.823490060314035e-9,0.009900990099009901
cg22153407,ENSG00000154429,CCSAP,-811047,L7,9.631558874835974e-9,0.009900990099009901
cg11718886,ENSG00000092978,GPATCH2,-1540627,L5,1.051129196906717e-8,0.009900990099009901
cg20152088,ENSG00000203730,TEDDM1,750556,R3,1.1507259038932682e-8,0.009900990099009901
cg04923840,ENSG00000162769,FLVCR1,-2155882,L9,1.2510802822204241e-8,0.039603960396039604
cg18161025,ENSG00000143207,RFWD2,-967663,L4,1.3644410230631831e-8,0.009900990099009901
cg18345456,ENSG00000117724,CENPF,600841,R3,1.553381034300261e-8,0.019801980198019802
cg14420230,ENSG00000135829,DHX9,-347949,L4,2.1898320913983267e-8,0.0297029702970297
cg19082496,ENSG00000134686,PHC2,-2698,L1,2.1898320913983267e-8,0.09900990099009901
cg25729466,ENSG00000066279,ASPM,1080891,R8,2.4884981567387817e-8,0.019801980198019802
cg22531801,ENSG00000059588,TARBP1,-1191220,L10,2.826484743223204e-8,0.039603960396039604
cg25312122,ENSG00000143315,PIGM,-182948,L8,2.826484743223204e-8,0.009900990099009901
cg27428948,ENSG00000168275,COA6,1747450,R7,2.9487287940130425e-8,0.019801980198019802
cg11691825,ENSG00000143207,RFWD2,-1853626,L6,3.076088957457699e-8,0.009900990099009901
cg22016731,ENSG00000116990,MYCL,49954,R1,3.2087717639115325e-8,0.019801980198019802
cg22153407,ENSG00000135763,URB2,-494142,L2,3.2087717639115325e-8,0.009900990099009901
cg22153407,ENSG00000069248,NUP133,-645985,L5,3.346991753635375e-8,0.019801980198019802
cg17936236,ENSG00000143162,CREG1,-0,L1,3.490971773737991e-8,0.009900990099009901
cg18161025,ENSG00000116161,CACYBP,-2163441,L10,3.490971773737991e-8,0.009900990099009901
cg11691825,ENSG00000116199,FAM20B,964681,R6,3.9598316213470596e-8,0.0297029702970297
cg11718886,ENSG00000118873,RAB3GAP2,976581,R5,4.1292573590833166e-8,0.0594059405940594
cg11750112,ENSG00000158966,CACHD1,-0,L1,4.3056931097774185e-8,0.009900990099009901
cg14032261,ENSG00000143476,DTL,299612,R2,4.3056931097774185e-8,0.0297029702970297
cg21690505,ENSG00000143751,SDE2,-127850,L2,4.6807234848869466e-8,0.009900990099009901
cg11718886,ENSG00000067533,RRP15,-833726,L3,4.879909663244015e-8,0.009900990099009901
cg15687000,ENSG00000198860,TSEN15,-1768945,L9,5.3031884953324787e-8,0.0297029702970297
cg15965383,ENSG00000067704,IARS2,-1014364,L9,5.3031884953324787e-8,0.0297029702970297
cg13305444,ENSG00000154380,ENAH,-0,L1,5.761902979389618e-8,0.009900990099009901
cg24593832,ENSG00000143207,RFWD2,-2368657,L9,5.761902979389618e-8,0.019801980198019802
cg14420230,ENSG00000203730,TEDDM1,-835084,L10,6.175321280419795e-8,0.019801980198019802
cg16276225,ENSG00000162851,TFB2M,-368366,L5,7.082987244922168e-8,0.04950495049504951
cg21690505,ENSG00000183814,LIN9,103965,R2,7.689675879211453e-8,0.039603960396039604
cg15895782,ENSG00000162769,FLVCR1,-1577519,L7,8.694903460233537e-8,0.039603960396039604
cg16578549,ENSG00000171603,CLSTN1,-66147,L2,9.434426753643199e-8,0.019801980198019802
cg22684969,ENSG00000116698,SMG7,236560,R2,1.0234578620742588e-7,0.019801980198019802
cg04923840,ENSG00000136643,RPS6KC1,-1780471,L6,1.0658867957442883e-7,0.009900990099009901
cg11718886,ENSG00000186205,MARC1,1615047,R10,1.1559022379489494e-7,0.009900990099009901
cg22400420,ENSG00000135829,DHX9,-994355,L10,1.2532417689426202e-7,0.039603960396039604
cg20152088,ENSG00000135847,ACBD6,-1144604,L7,1.3048351401341944e-7,0.019801980198019802
cg25312122,ENSG00000085552,IGSF9,-269345,L10,1.3584772390361725e-7,0.07920792079207921
cg12792264,ENSG00000116698,SMG7,-404254,L5,1.47222312754061e-7,0.0297029702970297
cg16276225,ENSG00000153207,AHCTF1,-2712,L1,1.47222312754061e-7,0.0297029702970297
cg18161025,ENSG00000116199,FAM20B,1850644,R8,1.47222312754061e-7,0.0297029702970297
cg18345456,ENSG00000092978,GPATCH2,3424637,R8,1.47222312754061e-7,0.009900990099009901
cg22531801,ENSG00000162885,B3GALNT2,-138288,L2,1.532491897532592e-7,0.04950495049504951
cg22787719,ENSG00000143469,SYT14,540587,R8,1.5847645916746394e-7,0.009900990099009901
cg22531801,ENSG00000116957,TBCE,-193786,L3,1.5951395568149256e-7,0.019801980198019802
cg01176047,ENSG00000133019,CHRM3,-576611,L3,1.6602562797273418e-7,0.0297029702970297
cg14170793,ENSG00000135763,URB2,237328,R4,1.6602562797273418e-7,0.0297029702970297
cg18857402,ENSG00000174371,EXO1,-2204655,L7,1.6602562797273418e-7,0.0297029702970297
cg22684969,ENSG00000203730,TEDDM1,-835037,L10,1.703019376670702e-7,0.039603960396039604
cg24729839,ENSG00000154380,ENAH,-115024,L2,1.871372241154789e-7,0.009900990099009901
cg13081288,ENSG00000143179,UCK2,-1060715,L6,1.9473339883359185e-7,0.019801980198019802
cg24310780,ENSG00000143179,UCK2,540151,R7,2.1082826902391048e-7,0.019801980198019802
cg26230851,ENSG00000143258,USP21,-95759,L10,2.1082826902391048e-7,0.009900990099009901
cg11718886,ENSG00000136636,KCTD3,-3549902,L8,2.1934966990606093e-7,0.0297029702970297
cg19403323,ENSG00000054392,HHAT,477534,R4,2.1934966990606093e-7,0.0297029702970297
cg24873093,ENSG00000117450,PRDX1,-2340,L1,2.374002459326623e-7,0.009900990099009901
cg24310780,ENSG00000143228,NUF2,-1931060,L3,2.568793639833003e-7,0.0594059405940594
cg24873093,ENSG00000132781,MUTYH,-184917,L5,2.568793639833003e-7,0.0297029702970297
cg18165065,ENSG00000171612,SLC25A33,1468874,R10,2.890154730098712e-7,0.04950495049504951
cg22400454,ENSG00000136643,RPS6KC1,-1198086,L4,2.890154730098712e-7,0.009900990099009901
cg18857402,ENSG00000035687,ADSS,308688,R2,3.25010039937488e-7,0.039603960396039604
cg09858925,ENSG00000117597,DIEXF,463881,R7,3.379408077066137e-7,0.019801980198019802
cg12213388,ENSG00000173726,TOMM20,767572,R3,3.513666071624096e-7,0.0297029702970297
cg24296187,ENSG00000143493,INTS7,-225446,L3,3.513666071624096e-7,0.009900990099009901
cg13545909,ENSG00000035687,ADSS,-1037579,L8,3.653055926389737e-7,0.039603960396039604
cg22736624,ENSG00000117597,DIEXF,636000,R7,3.653055926389737e-7,0.019801980198019802
cg12458003,ENSG00000143845,ETNK2,-839518,L10,3.9479893052030825e-7,0.009900990099009901
cg24597774,ENSG00000171603,CLSTN1,388307,R4,4.1039284657455506e-7,0.019801980198019802
cg25729466,ENSG00000177888,ZBTB41,1150443,R9,4.1039284657455506e-7,0.0297029702970297
cg03989270,ENSG00000188807,TMEM201,1236772,R9,4.265791197761018e-7,0.0891089108910891
cg15576338,ENSG00000006555,TTC22,-1630856,L8,4.608156464058624e-7,0.019801980198019802
cg11836212,ENSG00000116922,C1orf109,699375,R7,4.97689929287815e-7,0.0891089108910891
cg12603671,ENSG00000024526,DEPDC1,-2455483,L9,5.171763794298143e-7,0.019801980198019802
cg17094624,ENSG00000035687,ADSS,-639230,L7,5.171763794298143e-7,0.04950495049504951
cg12297374,ENSG00000053372,MRTO4,539481,R6,5.373961117526405e-7,0.019801980198019802
cg24593832,ENSG00000162779,AXDND1,789566,R7,5.7833564135837e-7,0.009900990099009901
cg02837162,ENSG00000116922,C1orf109,1056896,R8,5.801419020568679e-7,0.0891089108910891
cg23972860,ENSG00000171680,PLEKHG5,-814902,L9,5.801419020568679e-7,0.019801980198019802
cg15965383,ENSG00000143502,SUSD4,2058414,R10,6.027234865817428e-7,0.019801980198019802
cg18857402,ENSG00000121644,DESI2,553129,R4,6.027234865817428e-7,0.009900990099009901
cg21400442,ENSG00000227953,RP11-439E19.3,1371631,R5,6.027234865817428e-7,0.0297029702970297
cg24296187,ENSG00000117650,NEK2,-585370,L5,6.261494655194764e-7,0.04950495049504951
cg27428948,ENSG00000135750,KCNK1,987998,R5,6.504500237601735e-7,0.009900990099009901
cg00974095,ENSG00000043514,TRIT1,152107,R4,6.756563712239845e-7,0.07920792079207921
cg12527995,ENSG00000182183,FAM159A,-0,L1,7.2891659633269e-7,0.06930693069306931
cg18437839,ENSG00000159173,TNNI1,-46718,L3,8.16443259918397e-7,0.009900990099009901
cg24997231,ENSG00000117595,IRF6,431499,R6,8.16443259918397e-7,0.009900990099009901
cg17936236,ENSG00000143199,ADCY10,258318,R3,8.437210842120972e-7,0.009900990099009901
cg19896129,ENSG00000162437,RAVER2,2054326,R10,8.8031539719733e-7,0.019801980198019802
cg06358191,ENSG00000160087,UBE2J2,-17872,L2,9.852059885981476e-7,0.019801980198019802
cg16276225,ENSG00000135747,ZNF670,10854,R1,9.852059885981476e-7,0.019801980198019802
cg11718886,ENSG00000143353,LYPLAL1,2132,L1,1.0227638827485614e-6,0.009900990099009901
cg15895782,ENSG00000136643,RPS6KC1,-1202108,L4,1.0227638827485614e-6,0.039603960396039604
cg17181043,ENSG00000162437,RAVER2,249241,R1,1.0227638827485614e-6,0.0297029702970297
cg18766795,ENSG00000186283,TOR3A,1799249,R9,1.0227638827485614e-6,0.009900990099009901
cg16578549,ENSG00000188807,TMEM201,-275796,L4,1.0616950025232068e-6,0.1188118811881188
cg24558378,ENSG00000135829,DHX9,-732786,L8,1.0616950025232068e-6,0.07920792079207921
cg18395632,ENSG00000143228,NUF2,-2019485,L3,1.102047249545882e-6,0.09900990099009901
cg23172853,ENSG00000135750,KCNK1,1907542,R6,1.1438701085359537e-6,0.009900990099009901
cg18395632,ENSG00000185630,PBX1,-476506,L2,1.2321338127736812e-6,0.009900990099009901
cg12297374,ENSG00000179051,RCC2,-1272329,L6,1.278681991907018e-6,0.039603960396039604
cg14032261,ENSG00000082497,SERTAD4,-1489328,L10,1.3269155561696178e-6,0.019801980198019802
cg24873093,ENSG00000159596,TMEM69,161824,R6,1.3269155561696178e-6,0.039603960396039604
cg11691825,ENSG00000162779,AXDND1,1304597,R10,1.3758803062085702e-6,0.009900990099009901
cg14032261,ENSG00000054392,HHAT,-1059666,L9,1.3768926709750035e-6,0.039603960396039604
cg22531801,ENSG00000188739,RBM34,-481297,L6,1.4286734013066754e-6,0.0297029702970297
cg00935967,ENSG00000078900,TP73,-169996,L9,1.482319769838099e-6,0.04950495049504951
cg22736624,ENSG00000082497,SERTAD4,1040792,R10,1.482319769838099e-6,0.019801980198019802
cg00393673,ENSG00000143157,POGK,1314196,R8,1.5378958166943284e-6,0.009900990099009901
cg14094320,ENSG00000162757,C1orf74,376944,R5,1.5378958166943284e-6,0.009900990099009901
cg16258888,ENSG00000133019,CHRM3,-371280,L2,1.5378958166943284e-6,0.0594059405940594
cg15895782,ENSG00000092978,GPATCH2,2950107,R6,1.5954676608970947e-6,0.039603960396039604
cg01441127,ENSG00000135847,ACBD6,-540402,L5,1.6551035635360708e-6,0.04950495049504951
cg00760014,ENSG00000179051,RCC2,-1501606,L9,1.716873992709928e-6,0.039603960396039604
cg16600733,ENSG00000157933,SKI,-24803,L2,1.7808516902819096e-6,0.07920792079207921
cg25199536,ENSG00000176092,AIM1L,46741,R4,1.7808516902819096e-6,0.009900990099009901
cg06358191,ENSG00000131591,C1orf159,-175396,L9,1.8471117404953267e-6,0.0297029702970297
cg16596317,ENSG00000117155,SSX2IP,-598861,L8,1.915731640495655e-6,0.0594059405940594
cg17943995,ENSG00000162482,AKR7A3,991420,R9,2.060373479809633e-6,0.1188118811881188
cg18345456,ENSG00000067533,RRP15,4282932,R10,2.060373479809633e-6,0.04950495049504951
cg24152264,ENSG00000059588,TARBP1,1706447,R7,2.060373479809633e-6,0.04950495049504951
cg09858925,ENSG00000143469,SYT14,574067,R8,2.0984005760847186e-6,0.009900990099009901
cg12697139,ENSG00000117597,DIEXF,429461,R7,2.1365631402737866e-6,0.039603960396039604
cg14380230,ENSG00000078900,TP73,453773,R5,2.1365631402737866e-6,0.04950495049504951
cg18161025,ENSG00000213057,C1orf220,1367592,R5,2.215448247991053e-6,0.009900990099009901
cg14420230,ENSG00000116698,SMG7,236513,R2,2.2971194925643187e-6,0.039603960396039604
cg26109154,ENSG00000227953,RP11-439E19.3,1527709,R5,2.2971194925643187e-6,0.0594059405940594
cg07388700,ENSG00000188807,TMEM201,-345965,L6,2.3816704424036207e-6,0.13861386138613863
cg12427162,ENSG00000198771,RCSD1,-523001,L8,2.6535821963986612e-6,0.04950495049504951
cg25729466,ENSG00000116750,UCHL5,-2943127,L6,2.6535821963986612e-6,0.019801980198019802
cg21393051,ENSG00000117597,DIEXF,416040,R7,2.7506482605869275e-6,0.039603960396039604
cg18345456,ENSG00000136636,KCTD3,1565038,R5,2.851108120460816e-6,0.039603960396039604
cg00935967,ENSG00000116213,WRAP73,-253436,L10,3.0626636123795542e-6,0.0297029702970297
cg17094624,ENSG00000153207,AHCTF1,1747731,R7,3.0626636123795542e-6,0.0594059405940594
cg09858925,ENSG00000117595,IRF6,421565,R6,3.1739953553096547e-6,0.009900990099009901
cg16276225,ENSG00000188295,ZNF669,165269,R3,3.1739953553096547e-6,0.019801980198019802
cg11750112,ENSG00000162437,RAVER2,272034,R1,3.2891933238109945e-6,0.04950495049504951
cg16600733,ENSG00000067606,PRKCZ,-149527,L4,3.2891933238109945e-6,0.0891089108910891
cg17907003,ENSG00000134247,PTGFRN,-433,L1,3.2891933238109945e-6,0.009900990099009901
cg22153407,ENSG00000135775,COG2,488144,R2,3.2891933238109945e-6,0.0297029702970297
cg22400454,ENSG00000067533,RRP15,3812424,R8,3.2891933238109945e-6,0.04950495049504951
cg23972860,ENSG00000215788,TNFRSF25,-868768,L10,3.2891933238109945e-6,0.019801980198019802
cg25210796,ENSG00000118473,SGIP1,1909256,R7,3.2891933238109945e-6,0.0297029702970297
cg17181043,ENSG00000187140,FOXD3,-1170737,L8,3.351451481942839e-6,0.009900990099009901
cg24152264,ENSG00000143633,C1orf131,-1443676,L9,3.408384964762116e-6,0.06930693069306931
cg24152264,ENSG00000135750,KCNK1,929138,R4,3.408384964762116e-6,0.019801980198019802
cg15895782,ENSG00000117724,CENPF,126311,R1,3.531701678721492e-6,0.09900990099009901
cg24873093,ENSG00000132780,NASP,58456,R2,3.531701678721492e-6,0.0594059405940594
cg27532845,ENSG00000143845,ETNK2,769795,R9,3.6592789339456987e-6,0.019801980198019802
cg10180415,ENSG00000134198,TSPAN2,-1425846,L10,3.7912563834072e-6,0.0594059405940594
cg16600733,ENSG00000157881,PANK4,173608,R5,3.7912563834072e-6,0.019801980198019802
cg22153407,ENSG00000135801,TAF5L,-528294,L3,3.7912563834072e-6,0.009900990099009901
cg00255699,ENSG00000049089,COL9A2,458900,R8,3.927777984881335e-6,0.039603960396039604
cg13081288,ENSG00000152382,TADA1,-96006,L2,3.927777984881335e-6,0.06930693069306931
cg21400442,ENSG00000153187,HNRNPU,-539837,L3,4.0689921241737385e-6,0.019801980198019802
cg02837162,ENSG00000134690,CDCA8,1067744,R9,4.215051741560327e-6,0.0891089108910891
cg22400454,ENSG00000092978,GPATCH2,2954129,R6,4.215051741560327e-6,0.04950495049504951
cg27428948,ENSG00000143633,C1orf131,-1384816,L8,4.215051741560327e-6,0.07920792079207921
cg11718886,ENSG00000082482,KCNK2,-3934615,L9,4.286737421972156e-6,0.019801980198019802
cg15714328,ENSG00000097046,CDC7,-915975,L9,4.522342725791494e-6,0.09900990099009901
cg11836212,ENSG00000134690,CDCA8,710223,R8,4.6839039299619265e-6,0.0891089108910891
cg27589988,ENSG00000143494,VASH2,-1982511,L8,4.85097056344666e-6,0.06930693069306931
cg17936236,ENSG00000215834,FMO9P,-919667,L10,5.032184187981697e-6,0.009900990099009901
cg16276225,ENSG00000227953,RP11-439E19.3,-142305,L2,5.108519870304497e-6,0.0891089108910891
cg18857402,ENSG00000153187,HNRNPU,751360,R7,5.202336410814307e-6,0.019801980198019802
cg12446045,ENSG00000117632,STMN1,353251,R6,5.387007384010273e-6,0.0891089108910891
cg19403323,ENSG00000143473,KCNH1,832493,R5,5.774876874536797e-6,0.019801980198019802
cg14420230,ENSG00000198860,TSEN15,815973,R8,5.775297280212938e-6,0.04950495049504951
cg22729726,ENSG00000130764,LRRC47,572928,R9,5.979322591763923e-6,0.04950495049504951
cg27043880,ENSG00000186197,EDARADD,-2639507,L10,6.1902159257622734e-6,0.07920792079207921
cg14786116,ENSG00000212916,MAP10,-2322139,L10,6.408196012791772e-6,0.009900990099009901
cg20821187,ENSG00000163362,C1orf106,407257,R4,6.408196012791772e-6,0.019801980198019802
cg23972860,ENSG00000007923,DNAJC11,-633039,L2,6.408196012791772e-6,0.039603960396039604
cg18345456,ENSG00000082482,KCNK2,1003421,R4,6.631582201960979e-6,0.019801980198019802
cg18766795,ENSG00000143207,RFWD2,-1074631,L4,6.633488109484096e-6,0.06930693069306931
cg16265859,ENSG00000169991,IFFO2,-117888,L2,6.866324178334985e-6,0.019801980198019802
cg16576033,ENSG00000212916,MAP10,-2322528,L10,7.106943071993033e-6,0.009900990099009901
cg22016731,ENSG00000117000,RLF,315901,R5,7.106943071993033e-6,0.019801980198019802
cg24593832,ENSG00000116199,FAM20B,449650,R3,7.106943071993033e-6,0.039603960396039604
cg22947094,ENSG00000179743,RP11-169K16.9,-0,L1,7.355590722116918e-6,0.0297029702970297
cg15131146,ENSG00000117632,STMN1,108915,R5,7.612520332899421e-6,0.0891089108910891
cg24729839,ENSG00000143799,PARP1,592521,R10,7.612520332899421e-6,0.0297029702970297
cg19896129,ENSG00000187140,FOXD3,632278,R2,7.725010004847231e-6,0.009900990099009901
cg16926213,ENSG00000248333,CDK11B,-250840,L6,7.87799257935765e-6,0.0594059405940594
cg17711754,ENSG00000116455,WDR77,-529201,L8,7.87799257935765e-6,0.019801980198019802
cg21690505,ENSG00000143799,PARP1,233507,R3,8.152275810490775e-6,0.0297029702970297
cg15594444,ENSG00000134709,HOOK1,387264,R1,8.43564625740824e-6,0.06930693069306931
cg22153407,ENSG00000135776,ABCB10,-595646,L4,8.728388246533049e-6,0.0297029702970297
cg21117808,ENSG00000130939,UBE4B,204952,R5,9.030794417986274e-6,0.04950495049504951
cg22684969,ENSG00000135838,NPL,-405269,L5,9.030794417986274e-6,0.019801980198019802
cg23259394,ENSG00000142677,IL22RA1,-165352,L4,9.030794417986274e-6,0.009900990099009901
cg04923840,ENSG00000117724,CENPF,-390656,L2,9.343165949261401e-6,0.12871287128712872
cg09858925,ENSG00000162757,C1orf74,418190,R5,9.665812784297484e-6,0.019801980198019802
cg22016731,ENSG00000084072,PPIE,-81555,L4,9.665812784297484e-6,0.009900990099009901
cg18381395,ENSG00000162885,B3GALNT2,-1256541,L10,9.99905386806325e-6,0.06930693069306931
cg22531801,ENSG00000173726,TOMM20,-513818,L7,9.99905386806325e-6,0.04950495049504951
cg11718886,ENSG00000042781,USH2A,-2748313,L7,1.0283607427603077e-5,0.009900990099009901
cg12213388,ENSG00000168243,GNG4,1205908,R10,1.0343217386765147e-5,0.009900990099009901
cg07347148,ENSG00000143199,ADCY10,-0,L1,1.0657643298710701e-5,0.009900990099009901
cg14170793,ENSG00000069248,NUP133,52392,R1,1.069864101379441e-5,0.04950495049504951
cg24873093,ENSG00000070759,TESK2,-34187,L3,1.069864101379441e-5,0.12871287128712872
cg01791421,ENSG00000053372,MRTO4,-409617,L8,1.1065672161529982e-5,0.039603960396039604
cg01791421,ENSG00000169914,OTUD3,212764,R3,1.1065672161529982e-5,0.04950495049504951
cg02338271,ENSG00000010165,METTL13,-84951,L2,1.1065672161529982e-5,0.039603960396039604
cg21400442,ENSG00000035687,ADSS,-952245,L8,1.1065672161529982e-5,0.09900990099009901
cg25210796,ENSG00000185483,ROR1,-442626,L3,1.1065672161529982e-5,0.06930693069306931
cg21291759,ENSG00000162482,AKR7A3,1202264,R9,1.1444668239115883e-5,0.16831683168316833
cg00340127,ENSG00000035687,ADSS,2321286,R6,1.2240036393689558e-5,0.09900990099009901
cg24558378,ENSG00000198756,COLGALT2,309121,R3,1.2240036393689558e-5,0.0297029702970297
cg06358191,ENSG00000169972,PUSL1,16807,R2,1.2657175678849053e-5,0.019801980198019802
cg14170793,ENSG00000168159,RNF187,-841183,L6,1.2657175678849053e-5,0.019801980198019802
cg15895782,ENSG00000152104,PTPN14,-0,L1,1.2657175678849053e-5,0.009900990099009901
cg21686171,ENSG00000130939,UBE4B,588459,R9,1.2657175678849053e-5,0.04950495049504951
cg04923840,ENSG00000092978,GPATCH2,2371744,R4,1.3087814869529487e-5,0.06930693069306931
cg09874992,ENSG00000060688,SNRNP40,417807,R5,1.3087814869529487e-5,0.019801980198019802
cg17933936,ENSG00000143772,ITPKB,-0,L1,1.3087814869529487e-5,0.009900990099009901
cg16276225,ENSG00000162852,CNST,-266106,L4,1.3532365442993902e-5,0.04950495049504951
cg22515475,ENSG00000116350,SRSF4,-896180,L3,1.3532365442993902e-5,0.0297029702970297
cg08036553,ENSG00000162433,AK4,963425,R5,1.3991250552266258e-5,0.009900990099009901
cg15260921,ENSG00000143799,PARP1,239430,R3,1.4464905329202534e-5,0.039603960396039604
cg24729839,ENSG00000183814,LIN9,462979,R9,1.4464905329202534e-5,0.07920792079207921
cg16578549,ENSG00000130939,UBE4B,142156,R4,1.4953777194550443e-5,0.04950495049504951
cg22400454,ENSG00000152104,PTPN14,-0,L1,1.4953777194550443e-5,0.009900990099009901
cg15260921,ENSG00000243709,LEFTY1,-209877,L5,1.5457306038325745e-5,0.0297029702970297
cg12697139,ENSG00000117595,IRF6,387145,R6,1.545832617513261e-5,0.019801980198019802
cg15260921,ENSG00000183814,LIN9,109888,R2,1.545832617513261e-5,0.07920792079207921
cg23172853,ENSG00000143674,MLK4,1621306,R5,1.545832617513261e-5,0.0891089108910891
cg04923840,ENSG00000174606,ANGEL2,-2039419,L7,1.651636057372974e-5,0.039603960396039604
cg12792264,ENSG00000121481,RNF2,1042858,R5,1.651636057372974e-5,0.04950495049504951
cg17933936,ENSG00000163050,ADCK3,199526,R2,1.651636057372974e-5,0.039603960396039604
cg18437839,ENSG00000223396,RPS10P7,42116,R1,1.651636057372974e-5,0.0594059405940594
cg21400442,ENSG00000162851,TFB2M,1136178,R2,1.651636057372974e-5,0.09900990099009901
cg21402096,ENSG00000067704,IARS2,-1669004,L10,1.651636057372974e-5,0.06930693069306931
cg22400420,ENSG00000116698,SMG7,-283860,L4,1.651636057372974e-5,0.06930693069306931
cg00329272,ENSG00000078900,TP73,377601,R5,1.707083203289954e-5,0.0891089108910891
cg18161025,ENSG00000120333,MRPS14,-2151731,L9,1.707083203289954e-5,0.009900990099009901
cg21393051,ENSG00000117595,IRF6,373724,R6,1.707083203289954e-5,0.0297029702970297
cg25210796,ENSG00000125703,ATG4C,-1758623,L9,1.707083203289954e-5,0.04950495049504951
cg12764314,ENSG00000121481,RNF2,360329,R2,1.735352236434045e-5,0.04950495049504951
cg12792264,ENSG00000198756,COLGALT2,-0,L1,1.764295337606312e-5,0.0297029702970297
cg15895782,ENSG00000136636,KCTD3,1090508,R3,1.764295337606312e-5,0.039603960396039604
cg25210796,ENSG00000116641,DOCK7,-1935838,L10,1.764295337606312e-5,0.009900990099009901
